idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_visitante,GCA90_visitante,SCA90_local,GCA90_local,Pases Completados_visitante,Distancia Progresiva de Pase_visitante,Asistencias Esperadas_visitante,Centro al Punto Penal_visitante,Pases Progresivos_visitante,Pases Completados_local,Distancia Progresiva de Pase_local,Asistencias Esperadas_local,Centro al Punto Penal_local,Pases Progresivos_local,Derribos conseguidos_visitante,% Dribladores derribados_visitante,Desafios Perdidos_visitante,Disparos Bloqueados_visitante,Intercepciones_visitante,Errores_visitante,Derribos conseguidos_local,% Dribladores derribados_local,Desafios Perdidos_local,Disparos Bloqueados_local,Intercepciones_local,Errores_local,PSxG-GA/90_visitante,PSxG-GA/90_local
62,Leganes,Atletico de Madrid,0,0,2017-2018,18.45,2.74,17.84,1.45,381.2,2477.4,0.81,0.89,38.4,273.2,2205.0,0.71,1.97,29.2,16.2,44.5,12.4,3.39,13.5,0.11,12.7,46.3,9.84,2.29,15.3,0.24,0.32,0.02
63,Sevilla,Malaga,2,0,2017-2018,18.08,0.89,24.39,2.37,300.6,2367.1,0.62,2.55,30.8,430.7,2813.7,0.97,1.47,48.0,13.4,38.5,11.4,2.66,13.1,0.08,14.1,43.2,10.2,3.0,10.8,0.45,0.15,-0.14
64,Levante,Alaves,0,2,2017-2018,17.5,1.87,19.16,2.08,255.2,2150.5,0.58,1.63,27.5,282.0,2222.0,0.59,2.29,33.8,12.2,40.3,10.4,3.5,13.1,0.29,10.9,38.2,10.2,3.34,12.6,0.24,0.04,0.08
65,Deportivo de La Coruna,Getafe,2,1,2017-2018,16.55,1.68,21.53,1.76,224.5,2019.0,0.67,1.76,28.7,336.4,2450.7,0.92,2.24,38.9,12.9,37.7,12.0,1.82,12.8,0.13,13.2,43.0,10.2,2.97,12.7,0.34,0.24,-0.28
66,Valencia,Athletic Club,3,2,2017-2018,19.5,1.79,22.63,3.0,347.2,2643.5,0.88,2.74,40.0,376.0,2590.9,0.88,1.97,41.1,12.8,40.3,11.6,2.71,12.2,0.24,12.9,44.7,10.1,2.84,12.1,0.24,0.16,0.33
67,Real Madrid,Espanyol,2,0,2017-2018,19.05,1.58,33.95,4.37,335.6,2378.1,0.74,2.24,33.6,551.4,3163.2,1.55,3.21,62.7,13.2,38.7,11.3,3.05,13.6,0.24,12.4,40.6,9.71,2.18,11.2,0.42,0.19,0.09
68,Real Sociedad,Betis,4,4,2017-2018,19.05,2.45,24.26,2.84,472.4,2753.0,0.83,1.68,39.6,446.7,2804.8,0.94,2.71,42.2,11.2,39.7,8.53,2.5,11.2,0.45,9.84,42.4,8.13,2.39,11.7,0.16,-0.24,-0.14
69,Barcelona,Las Palmas,3,0,2017-2018,19.26,1.08,27.24,4.47,416.4,2634.8,0.73,1.61,35.1,582.8,3193.0,1.66,0.79,56.6,11.4,41.4,9.97,2.95,13.4,0.55,10.9,41.5,8.5,2.71,11.2,0.26,0.02,0.21
70,Villarreal,Eibar,3,0,2017-2018,21.29,1.89,21.87,2.5,334.9,2594.6,0.76,3.63,38.6,394.6,2691.0,0.84,1.58,38.2,11.5,42.1,9.34,1.39,14.6,0.24,12.3,39.6,11.1,3.45,11.2,0.18,0.02,0.02
71,Espanyol,Levante,0,0,2017-2018,19.16,2.08,19.05,1.58,282.0,2222.0,0.59,2.29,33.8,335.6,2378.1,0.74,2.24,33.6,10.9,38.2,10.2,3.34,12.6,0.24,13.2,38.7,11.3,3.05,13.6,0.24,0.08,0.19
72,Getafe,Real Madrid,1,2,2017-2018,33.95,4.37,16.55,1.68,551.4,3163.2,1.55,3.21,62.7,224.5,2019.0,0.67,1.76,28.7,12.4,40.6,9.71,2.18,11.2,0.42,12.9,37.7,12.0,1.82,12.8,0.13,0.09,0.24
73,Athletic Club,Sevilla,1,0,2017-2018,24.39,2.37,19.5,1.79,430.7,2813.7,0.97,1.47,48.0,347.2,2643.5,0.88,2.74,40.0,14.1,43.2,10.2,3.0,10.8,0.45,12.8,40.3,11.6,2.71,12.2,0.24,-0.14,0.16
74,Alaves,Real Sociedad,0,2,2017-2018,24.26,2.84,17.5,1.87,446.7,2804.8,0.94,2.71,42.2,255.2,2150.5,0.58,1.63,27.5,9.84,42.4,8.13,2.39,11.7,0.16,12.2,40.3,10.4,3.5,13.1,0.29,-0.14,0.04
75,Atletico de Madrid,Barcelona,1,1,2017-2018,27.24,4.47,18.45,2.74,582.8,3193.0,1.66,0.79,56.6,381.2,2477.4,0.81,0.89,38.4,10.9,41.5,8.5,2.71,11.2,0.26,16.2,44.5,12.4,3.39,13.5,0.11,0.21,0.32
76,Girona,Villarreal,1,2,2017-2018,21.87,2.5,20.89,2.32,394.6,2691.0,0.84,1.58,38.2,311.7,2385.5,0.92,2.97,32.0,12.3,39.6,11.1,3.45,11.2,0.18,10.6,39.6,9.63,2.21,12.9,0.16,0.02,0.05
77,Betis,Valencia,3,6,2017-2018,22.63,3.0,19.05,2.45,376.0,2590.9,0.88,1.97,41.1,472.4,2753.0,0.83,1.68,39.6,12.9,44.7,10.1,2.84,12.1,0.24,11.2,39.7,8.53,2.5,11.2,0.45,0.33,-0.24
78,Eibar,Deportivo de La Coruna,0,0,2017-2018,21.53,1.76,21.29,1.89,336.4,2450.7,0.92,2.24,38.9,334.9,2594.6,0.76,3.63,38.6,13.2,43.0,10.2,2.97,12.7,0.34,11.5,42.1,9.34,1.39,14.6,0.24,-0.28,0.02
79,Malaga,Leganes,0,2,2017-2018,17.84,1.45,18.08,0.89,273.2,2205.0,0.71,1.97,29.2,300.6,2367.1,0.62,2.55,30.8,12.7,46.3,9.84,2.29,15.3,0.24,13.4,38.5,11.4,2.66,13.1,0.08,0.02,0.15
80,Las Palmas,Celta Vigo,2,5,2017-2018,21.11,2.71,19.26,1.08,446.9,2861.7,0.97,2.29,42.0,416.4,2634.8,0.73,1.61,35.1,11.1,39.2,8.89,2.66,13.1,0.26,11.4,41.4,9.97,2.95,13.4,0.55,-0.25,0.02
81,Levante,Getafe,1,1,2017-2018,16.55,1.68,19.16,2.08,224.5,2019.0,0.67,1.76,28.7,282.0,2222.0,0.59,2.29,33.8,12.9,37.7,12.0,1.82,12.8,0.13,10.9,38.2,10.2,3.34,12.6,0.24,0.24,0.08
82,Barcelona,Malaga,2,0,2017-2018,18.08,0.89,27.24,4.47,300.6,2367.1,0.62,2.55,30.8,582.8,3193.0,1.66,0.79,56.6,13.4,38.5,11.4,2.66,13.1,0.08,10.9,41.5,8.5,2.71,11.2,0.26,0.15,0.21
83,Valencia,Sevilla,4,0,2017-2018,24.39,2.37,22.63,3.0,430.7,2813.7,0.97,1.47,48.0,376.0,2590.9,0.88,1.97,41.1,14.1,43.2,10.2,3.0,10.8,0.45,12.9,44.7,10.1,2.84,12.1,0.24,-0.14,0.33
84,Betis,Alaves,2,0,2017-2018,17.5,1.87,19.05,2.45,255.2,2150.5,0.58,1.63,27.5,472.4,2753.0,0.83,1.68,39.6,12.2,40.3,10.4,3.5,13.1,0.29,11.2,39.7,8.53,2.5,11.2,0.45,0.04,-0.24
85,Villarreal,Las Palmas,4,0,2017-2018,19.26,1.08,21.87,2.5,416.4,2634.8,0.73,1.61,35.1,394.6,2691.0,0.84,1.58,38.2,11.4,41.4,9.97,2.95,13.4,0.55,12.3,39.6,11.1,3.45,11.2,0.18,0.02,0.02
86,Real Madrid,Eibar,3,0,2017-2018,21.29,1.89,33.95,4.37,334.9,2594.6,0.76,3.63,38.6,551.4,3163.2,1.55,3.21,62.7,11.5,42.1,9.34,1.39,14.6,0.24,12.4,40.6,9.71,2.18,11.2,0.42,0.02,0.09
87,Leganes,Athletic Club,1,0,2017-2018,19.5,1.79,17.84,1.45,347.2,2643.5,0.88,2.74,40.0,273.2,2205.0,0.71,1.97,29.2,12.8,40.3,11.6,2.71,12.2,0.24,12.7,46.3,9.84,2.29,15.3,0.24,0.16,0.02
